Species,trName,presentInGardnerTree,tip,position,node,distUp,justification,reference,notes,Higher_taxon,Region,Comments.corrections,deleteReason,sequenced_gall_inducers,comments_ar
Castanea_crenata,Castanea_crenata,,Castanea_crenata,sister to all of Castanea,Castanea_pumila|Castanea_henryi,2,,"Lang P, Dane F, Kubisiak TL, Huang H. 2007. Molecular evidence for an Asian origin and a unique westward migration of species in the genus Castanea via Europe to North America. Molecular Phylogenetics and Evolution 43: 49–59.",,Castanea,Eastern Palearctic and Oriental,,,y,retain
Castanea_henryi,Castanea_henryi,x,,,,NA,,,,Castanea,Eastern Palearctic and Oriental,,,y,retain
Castanea_mollissima,Castanea_mollissima,x,,,,NA,,,,Castanea,Eastern Palearctic and Oriental,,,y,retain
Castanea_seguinii,Castanea_seguinii,x,,,,NA,,,,Castanea,Eastern Palearctic and Oriental,,,y,retain
Castanopsis_carlesii,Castanopsis_carlesii,x,,,,NA,,,,Castanopsis,Eastern Palearctic and Oriental,,,y,retain
Castanopsis_carlesii var. spinulosa,Castanopsis_carlesii_var_spinulosa,,Castanopsis_carlesii_var_spinulosa,sister to Castanopsis carlesii,Castanopsis_carlesii,2,,,,Castanopsis,Eastern Palearctic and Oriental,,,n,delete
Castanopsis_ceratacantha,Castanopsis_ceratacantha,x,,,,NA,,,,Castanopsis,Eastern Palearctic and Oriental,,,n,delete
Castanopsis_echinocarpa,Castanopsis_echinocarpa,x,,,,NA,,,,Castanopsis,Eastern Palearctic and Oriental,,,y,retain
Castanopsis_fargesii,Castanopsis_fargesii,x,,,,NA,,,,Castanopsis,Eastern Palearctic and Oriental,,,n,delete
Castanopsis_platyacantha,Castanopsis_platyacantha,,Castanopsis_platyacantha,*** UNKNOWN;  morphology is close to Castanopsis fargesii,Castanopsis_fargesii,2,,,,Castanopsis,Eastern Palearctic and Oriental,,,n,delete
Castanopsis_uriana,Castanopsis_uraiana,,Castanopsis_uraiana,Castanopsis fissa group,Castanopsis_fissa|Castanopsis_calathiformis,2,This recent Castanopsis paper (https://www.sciencedirect.com/science/article/pii/S1055790325001617?via=ihub#b0205) didn't sample it but mentions it as belonging to the C. fissa group. ,,,Castanopsis,Eastern Palearctic and Oriental,,,y,retain
Chrysolepis_chrysophylla var. minor,Chrysolepis_chrysophylla_var_minor,,Chrysolepis_chrysophylla_var_minor,sister to C. chrysophylla v. chrysophylla,Chrysolepis_chrysophylla,2,,,,Chrysolepis,Nearctic,,,n,delete - gall associations aggregated to species
Chrysolepis_sempervirens,Chrysolepis_sempervirens,x,,,,NA,,,,Chrysolepis,Nearctic,,,y,retain
Chrysolepis_chrysophylla,Chrysolepis_chrysophylla,x,,,,NA,,,,Chrysolepis,Nearctic,,,y,retain
