previous_tree,new_tree,ah_20260506
Quercus_undata,NA,use 2022 splice rule
Quercus_splendens,Quercus_peduncularis,ok
Quercus_laeta,NA,** taxonomic problems -- consider dropping (used very inconsistently)
Quercus_potosina,NA,** subsumed in latest Quercus tree; consider dropping or welding in arbitrary location in Sierra Madre Occidental white oak clade
Quercus_fabrei,Quercus_fabri,ok
Quercus_gambelii,NA,use 2022 splice rule
Quercus_cornelius.mulleri,Quercus_cornelius-mulleri,ok
Quercus_john.tuckeri,Quercus_john-tuckeri,ok
Quercus_aquifolioides,NA,use 2022 splice rule
Quercus_glauca,NA,** was in older tree… will check w/ Min Deng about resplicing
Quercus_hypophaea,NA,use 2022 splice rule
Quercus_longinux,NA,use 2022 splice rule
Quercus_morii,NA,use 2022 splice rule
Lithocarpus_konishii,NA,use 2022 splice rule
Castanea_crenata,NA,use 2022 splice rule
Quercus_wutaishanica,NA,use 2022 splice rule
Lithocarpus_corneus,Lithocarpus_corneus ,use 2022 splice rule
Lithocarpus_brevicaudatus,NA,use 2022 splice rule
Castanopsis_uraiana,NA,** was in older tree -- check with Elliot
