"","Species","trName","position","justification","reference","notes"
"6","Castanopsis_carlesii var. spinulosa","Castanopsis_carlesii_var_spinulosa","sister to Castanopsis carlesii","","",""
"7","Castanopsis_ceratacantha","Castanopsis_ceratacantha","","","",""
"10","Castanopsis_platyacantha","Castanopsis_platyacantha","*** UNKNOWN;  morphology is close to Castanopsis fargesii","","",""
"12","Chrysolepis_chrysophylla var. minor","Chrysolepis_chrysophylla_var_minor","sister to C. chrysophylla v. chrysophylla","","",""
"15","Lithocarpus_cleistocarpus","Lithocarpus_cleistocarpus","","","",""
"16","Lithocarpus_cleistocarpus var. cleistocarpus","Lithocarpus_cleistocarpus_var_cleistocarpus","#NAME?","","",""
"17","Lithocarpus_cleistocarpus var. omeiensis","Lithocarpus_cleistocarpus_var_omeiensis","sister to C. cleistocarpus","variety","",""
"21","Lithocarpus_harlandi","Lithocarpus_harlandi","sister to iteaphyllus","Present in genbank with matK, which wasn't informative (short ITS sequence was nonsense), but generally in the hancei/iteaphyllus clade make sense and is consistent with Yang et al and geography.","",""
"23","Lithocarpus_litseifolius var. litseifolius","Lithocarpus_litseifolius","","","",""
"24","Lithocarpus_oblanceolatus","Lithocarpus_oblanceolatus","sister to hancei","segregated from L. hancei","",""
"26","Lithocarpus_megalophyllus","Lithocarpus_megalophyllus","sister to L brevicaudatus; these two sister to hancei + oblanceolatus","genbank ITS","",""
"34","Quercus_aliena var. acutiserrata","Quercus_aliena_var_acutiserrata","sister to Quercus aliena","","",""
"67","Quercus_gambleana","Quercus_gambleana","sister to Q. oxyodon","considered a synonym of Q. oxyodon","",""
"93","Quercus_laeta","Quercus_laeta","","","",""
